Record,Date,LOC Time,Articulo, Estado Camara, Resultado Estampado, Resulado Control, Pieza en Chronos
1,09/02/2024,14:27:56,2445731,1,0,0,1
1,09/02/2024,14:30:22,2445731,1,1,0,1
1,09/02/2024,14:34:41,2445731,1,0,0,1
1,09/02/2024,14:36:06,2445731,1,1,0,1
1,09/02/2024,14:39:29,2445731,1,1,1,1
1,09/02/2024,14:41:43,2445731,1,1,1,1
1,09/02/2024,14:45:23,2445731,0,1,1,1
1,09/02/2024,15:43:26,2445731,0,0,1,1
1,09/02/2024,15:48:31,2445731,0,0,1,1
1,09/02/2024,15:50:50,2445731,0,0,1,1
1,09/02/2024,15:53:13,2445731,0,0,1,1
1,09/02/2024,15:56:05,2445731,0,0,1,1
1,09/02/2024,15:59:37,2445731,0,0,1,1
1,09/02/2024,16:02:13,2445731,0,0,1,1
1,09/02/2024,16:05:54,2445731,0,0,1,1
1,09/02/2024,16:08:00,2445731,1,1,0,1
1,09/02/2024,16:35:12,2445731,1,1,0,1
1,09/02/2024,16:38:07,2445731,1,1,0,1
1,09/02/2024,16:40:35,2445731,1,1,1,1
1,09/02/2024,16:42:44,2445731,1,1,0,1
1,09/02/2024,16:44:45,2445731,1,0,1,1
1,09/02/2024,16:48:36,2445731,1,1,1,1
1,09/02/2024,16:50:49,2445731,1,1,1,1
1,09/02/2024,16:53:34,2445731,1,0,1,1
1,09/02/2024,17:08:48,2445731,1,0,1,1
1,09/02/2024,17:10:54,2445731,1,0,0,1
1,09/02/2024,17:13:57,2445731,1,1,1,1
1,09/02/2024,17:15:56,2445731,1,1,1,1
1,09/02/2024,17:24:19,2445731,1,1,1,1
1,09/02/2024,17:26:43,2445731,1,1,0,1
1,09/02/2024,17:29:03,2445731,1,0,1,1
1,09/02/2024,17:31:10,2445731,1,1,1,1
1,09/02/2024,17:38:02,2445731,1,1,1,1
1,09/02/2024,17:39:44,2445731,1,1,1,1
1,09/02/2024,17:41:44,2445731,1,1,0,1
1,09/02/2024,17:43:48,2445731,1,1,1,1
1,09/02/2024,18:26:46,2445731,1,1,1,1
1,09/02/2024,18:28:43,2445731,1,1,1,1
1,09/02/2024,18:31:19,2445731,1,0,1,1
1,09/02/2024,18:34:41,2445731,1,1,1,1
1,09/02/2024,18:37:59,2445731,1,1,1,1
1,09/02/2024,18:42:57,2445731,1,0,1,1
1,09/02/2024,18:45:47,2445731,1,1,0,1
1,09/02/2024,18:54:18,2445731,1,1,1,1
1,09/02/2024,18:56:26,2445731,1,1,1,1
1,09/02/2024,18:58:15,2445731,1,1,1,1
1,09/02/2024,19:05:16,2445731,1,1,1,1
1,09/02/2024,19:07:28,2445731,1,0,1,1
1,09/02/2024,19:09:27,2445731,1,1,0,1
1,09/02/2024,19:11:29,2445731,1,1,1,1
1,09/02/2024,19:15:35,2445731,1,1,1,1
1,09/02/2024,19:17:15,2445731,1,1,1,1
1,09/02/2024,19:19:50,2445731,1,1,1,1
1,09/02/2024,19:23:36,2445731,1,1,0,1
1,09/02/2024,20:24:57,2445731,1,1,1,1
1,09/02/2024,20:28:18,2445731,1,1,1,1
1,09/02/2024,20:31:06,2445731,1,1,0,1
1,09/02/2024,20:33:22,2445731,1,0,0,1
1,09/02/2024,20:38:27,2445731,1,0,0,1
1,09/02/2024,20:41:13,2445731,1,1,1,1
1,09/02/2024,20:42:51,2445731,1,1,0,1
1,09/02/2024,20:44:43,2445731,1,1,1,1
1,09/02/2024,20:49:51,2445731,1,0,0,1
1,09/02/2024,20:51:51,2445731,1,1,1,1
1,09/02/2024,20:53:34,2445731,1,1,1,1
1,09/02/2024,20:57:47,2445731,1,1,0,1
1,09/02/2024,20:59:56,2445731,1,1,0,1
1,09/02/2024,21:02:18,2445731,1,1,1,1
1,09/02/2024,21:05:16,2445731,1,1,1,1
1,09/02/2024,21:30:42,2445731,1,0,1,1
1,09/02/2024,21:33:32,2445731,1,1,1,1
1,09/02/2024,21:53:12,2445731,1,1,1,1
1,09/02/2024,21:55:10,2445731,1,1,1,1
1,09/02/2024,21:57:32,2445731,1,1,0,1
1,09/02/2024,22:01:07,2445731,1,1,0,1
1,09/02/2024,23:11:11,2445731,1,1,0,1
1,09/02/2024,23:14:52,2445731,1,0,0,1
1,09/02/2024,23:18:53,2445731,1,1,0,1
1,09/02/2024,23:27:32,2445731,1,1,1,1
1,09/02/2024,23:45:50,2445731,1,1,0,1
1,09/02/2024,23:51:57,2445731,1,1,1,1
1,09/02/2024,23:54:53,2445731,1,0,1,1
1,09/02/2024,23:58:57,2445731,1,0,1,1
1,09/03/2024,00:15:16,2445731,1,1,1,1
1,09/03/2024,00:19:22,2445731,1,0,0,1
1,09/03/2024,00:22:49,2445731,1,1,0,1
1,09/03/2024,00:27:41,2445731,1,1,1,1
1,09/03/2024,00:31:45,2445731,1,1,1,1
1,09/03/2024,00:48:24,2445731,1,1,1,1
1,09/03/2024,00:51:38,2445731,1,1,0,1
1,09/03/2024,00:55:11,2445731,1,1,1,1
1,09/03/2024,00:59:39,2445731,1,1,0,1
1,09/03/2024,01:02:17,2445731,1,0,1,1
1,09/03/2024,01:05:01,2445731,1,1,1,1
1,09/03/2024,01:07:52,2445731,1,1,1,1
1,09/03/2024,01:10:51,2445731,1,1,1,1
1,09/03/2024,01:16:55,2445731,1,0,0,1
1,09/03/2024,01:22:27,2445731,1,1,1,1
1,09/03/2024,01:24:37,2445731,1,1,1,1
1,09/03/2024,01:28:56,2445731,1,0,1,1
1,09/03/2024,01:31:40,2445731,1,1,1,1
1,09/03/2024,01:34:27,2445731,1,1,0,1
1,09/03/2024,01:38:04,2445731,1,1,0,1
1,09/03/2024,01:41:07,2445731,1,1,1,1
1,09/03/2024,01:43:59,2445731,1,1,1,1
1,09/03/2024,01:46:46,2445731,1,1,1,1
1,09/03/2024,02:15:31,2445731,1,1,0,1
1,09/03/2024,02:19:05,2445731,1,0,0,1
1,09/03/2024,02:27:35,2445731,1,0,1,1
1,09/03/2024,02:42:47,2445731,1,0,0,1
1,09/03/2024,02:45:46,2445731,1,0,0,1
1,09/03/2024,02:49:16,2445731,1,0,0,1
1,09/03/2024,02:53:04,2445731,1,1,0,1
1,09/03/2024,02:57:03,2445731,1,0,1,1
