,Record,Date,LOC Time,Articulo,Estado Camara,Comunicacion Chronos,Estado Controles,Resultado Estampado,Resultado Controles
0,7, 8/20/2024,12:33:37,2829086,1,1,1,1,1
1,9, 8/20/2024,12:35:56,2829086,1,1,1,0,1
2,11, 8/20/2024,12:39:07,2829086,1,1,1,0,1
3,13, 8/20/2024,12:41:24,2829086,1,1,1,1,1
4,15, 8/20/2024,12:44:13,2829086,1,1,1,1,1
5,17, 8/20/2024,12:46:37,2829086,1,1,1,1,1
6,19, 8/20/2024,12:48:42,2829086,1,1,1,1,1
7,21, 8/20/2024,12:51:42,2829086,1,1,1,0,0
8,23, 8/20/2024,12:54:02,2829086,1,1,1,1,1
9,25, 8/20/2024,12:56:07,2829086,1,1,1,0,1
10,27, 8/20/2024,12:58:07,2829086,1,1,1,1,0
11,29, 8/20/2024,12:59:54,2829086,1,1,1,1,1
12,31, 8/20/2024,13:02:07,2829086,1,1,1,0,1
13,33, 8/20/2024,13:28:16,2829086,1,1,1,1,1
14,35, 8/20/2024,13:29:42,2829086,1,1,1,1,1
15,37, 8/20/2024,13:32:05,2829086,1,1,1,1,1
16,39, 8/20/2024,13:37:28,2829086,1,1,1,1,1
17,41, 8/20/2024,13:39:45,2829086,1,1,1,1,1
18,43, 8/20/2024,13:42:00,2829086,1,1,1,1,1
19,45, 8/20/2024,13:48:53,2829086,1,1,1,1,1
20,47, 8/20/2024,13:51:06,2829086,1,1,1,1,0
21,49, 8/20/2024,13:52:55,2829086,1,1,1,1,1
22,51, 8/20/2024,13:57:55,2829086,1,1,1,0,1
23,53, 8/20/2024,14:00:03,2829086,1,1,1,0,1
24,55, 8/20/2024,14:02:10,2829086,1,1,1,1,1
25,57, 8/20/2024,14:27:53,2829086,1,1,1,0,1
26,59, 8/20/2024,14:30:23,2829086,1,1,1,0,1
27,61, 8/20/2024,14:32:19,2829086,1,1,1,1,1
28,63, 8/20/2024,14:35:50,2829086,1,1,1,1,1
29,65, 8/20/2024,15:53:39,2829086,1,1,1,0,0
30,67, 8/20/2024,15:58:49,2829086,1,1,1,1,1
31,69, 8/20/2024,16:08:51,2829086,1,1,1,0,1
32,71, 8/20/2024,16:12:25,2829086,1,1,1,1,0
33,73, 8/20/2024,16:15:29,2829086,1,1,1,1,1
34,75, 8/20/2024,16:29:21,2829086,1,1,1,1,1
35,77, 8/20/2024,16:32:12,2829086,1,1,1,1,1
36,79, 8/20/2024,16:35:51,2829086,1,1,1,1,1
37,81, 8/20/2024,16:40:33,2829086,1,1,1,0,1
38,83, 8/20/2024,16:43:59,2829086,1,1,1,1,1
39,85, 8/20/2024,16:57:48,2829086,1,1,1,1,1
40,87, 8/20/2024,17:01:45,2829086,1,1,1,1,1
41,89, 8/20/2024,17:04:59,2829086,1,1,1,1,1
42,91, 8/20/2024,17:08:32,2829086,1,1,1,1,1
43,93, 8/20/2024,17:14:52,2829086,1,1,1,1,1
44,95, 8/20/2024,17:20:13,2829086,1,1,1,1,0
45,97, 8/20/2024,17:24:02,2829086,1,1,1,1,0
46,99, 8/20/2024,17:39:07,2829086,1,1,1,1,1
47,101, 8/20/2024,17:42:45,2829086,1,1,1,1,0
48,103, 8/20/2024,17:45:42,2829086,1,1,1,1,0
49,105, 8/20/2024,17:48:31,2829086,1,1,1,1,1
50,107, 8/20/2024,17:53:42,2829086,1,1,1,1,1
51,109, 8/20/2024,17:56:46,2829086,1,1,1,0,0
52,111, 8/20/2024,18:26:45,2829086,1,1,1,0,1
53,113, 8/20/2024,18:30:00,2829086,1,1,1,1,1
54,115, 8/20/2024,18:33:38,2829086,1,1,1,1,1
55,117, 8/20/2024,18:37:07,2829086,1,1,1,1,1
56,119, 8/20/2024,18:40:48,2829086,1,1,1,1,1
57,121, 8/20/2024,18:45:02,2829086,1,1,1,1,1
58,123, 8/20/2024,18:47:55,2829086,1,1,1,1,1
59,125, 8/20/2024,18:51:13,2829086,1,1,1,1,0
60,127, 8/20/2024,18:54:40,2829086,1,1,1,1,1
61,129, 8/20/2024,19:03:44,2829086,1,1,1,1,1
62,131, 8/20/2024,21:01:30,2829086,1,1,1,0,1
63,133, 8/20/2024,21:04:49,2829086,1,1,1,1,1
64,135, 8/20/2024,21:08:06,2829086,1,1,1,0,1
65,137, 8/20/2024,21:11:18,2829086,1,1,1,1,1
66,139, 8/20/2024,21:15:26,2829086,1,1,1,1,0
67,141, 8/20/2024,21:18:34,2829086,1,1,1,1,1
68,143, 8/20/2024,21:21:33,2829086,1,1,1,1,1
69,145, 8/20/2024,21:33:46,2829086,1,1,1,1,1
70,147, 8/20/2024,21:42:59,2829086,1,1,1,1,1
71,149, 8/20/2024,21:46:14,2829086,1,1,1,1,1
72,151, 8/20/2024,21:49:25,2829086,1,1,1,1,1
73,153, 8/20/2024,21:51:54,2829086,1,1,1,1,1
74,155, 8/20/2024,21:54:42,2829086,1,1,1,1,1
75,157, 8/20/2024,21:57:29,2829086,1,1,1,1,1
76,159, 8/20/2024,22:05:12,2829086,1,1,1,1,1
77,161, 8/20/2024,22:08:11,2829086,1,1,1,1,0
78,163, 8/20/2024,23:13:46,2829086,1,1,1,1,1
79,165, 8/20/2024,23:16:35,2829086,1,1,1,1,1
80,167, 8/20/2024,23:19:16,2829086,1,1,1,1,1
81,169, 8/20/2024,23:21:23,2829086,1,1,1,1,1
82,171, 8/20/2024,23:24:17,2829086,1,1,1,1,1
83,173, 8/20/2024,23:34:56,2829086,1,1,1,1,1
84,175, 8/20/2024,23:39:15,2829086,1,1,1,1,1
85,177, 8/20/2024,23:43:29,2829086,1,1,1,0,1
86,179, 8/20/2024,23:46:44,2829086,1,1,1,0,1
87,181, 8/20/2024,23:52:53,2829086,1,1,1,1,1
88,183, 8/20/2024,23:55:09,2829086,1,1,1,1,1
89,185, 8/20/2024,23:58:09,2829086,1,1,1,1,1
90,187, 8/21/2024, 0:00:11,2829086,1,1,1,1,0
91,189, 8/21/2024, 0:02:25,2829086,1,1,1,1,0
92,191, 8/21/2024, 0:05:20,2829086,1,1,1,1,1
93,193, 8/21/2024, 0:07:57,2829086,1,1,1,1,1
94,195, 8/21/2024, 0:16:19,2829086,1,1,1,1,1
95,197, 8/21/2024, 0:19:17,2829086,1,1,1,1,1
96,199, 8/21/2024, 0:29:24,2829086,1,1,1,1,1
97,201, 8/21/2024, 0:31:22,2829086,1,1,1,0,0
98,203, 8/21/2024, 0:51:46,2829086,1,1,1,0,1
99,205, 8/21/2024, 0:54:28,2829086,1,1,1,1,0
100,207, 8/21/2024, 0:56:42,2829086,1,1,1,1,1
101,209, 8/21/2024, 0:59:42,2829086,1,1,1,1,1
102,211, 8/21/2024, 1:01:59,2829086,1,1,1,0,1
103,213, 8/21/2024, 1:04:12,2829086,1,1,1,1,1
104,215, 8/21/2024, 1:34:54,2829086,1,1,1,1,1
105,217, 8/21/2024, 1:39:56,2829086,1,1,1,1,1
106,219, 8/21/2024, 1:44:37,2829086,1,1,1,1,0
107,221, 8/21/2024, 1:47:55,2829086,1,1,1,0,1
108,223, 8/21/2024, 1:52:16,2829086,1,1,1,1,1
109,225, 8/21/2024, 1:55:48,2829086,1,1,1,0,1
110,227, 8/21/2024, 1:58:47,2829086,1,1,1,1,1
111,229, 8/21/2024, 2:02:39,2829086,1,1,1,0,1
112,231, 8/21/2024, 2:05:47,2829086,1,1,1,1,1
113,233, 8/21/2024, 2:22:45,2829086,1,1,1,0,1
114,235, 8/21/2024, 2:26:13,2829086,1,1,1,0,1
115,237, 8/21/2024, 2:30:04,2829086,1,1,1,1,1
116,239, 8/21/2024, 2:34:16,2829086,1,1,1,1,1
117,241, 8/21/2024, 2:39:24,2829086,1,1,1,1,1
118,243, 8/21/2024, 2:45:45,2829086,1,1,1,1,1
119,245, 8/21/2024, 2:49:33,2829086,1,1,1,1,1
120,247, 8/21/2024, 4:15:09,2829086,1,1,1,1,1
121,249, 8/21/2024, 4:17:56,2829086,1,1,1,0,1
122,251, 8/21/2024, 4:37:47,2829086,1,1,1,1,0
123,253, 8/21/2024, 4:39:49,2829086,1,1,1,1,1
124,255, 8/21/2024, 4:41:52,2829086,1,1,1,1,1
125,257, 8/21/2024, 4:44:09,2829086,1,1,1,1,1
126,259, 8/21/2024, 4:46:26,2829086,1,1,1,0,1
127,261, 8/21/2024, 4:48:32,2829086,1,1,1,1,1
128,263, 8/21/2024, 4:57:06,2829086,1,1,1,1,1
129,265, 8/21/2024, 4:59:35,2829086,1,1,1,1,0
130,267, 8/21/2024, 5:02:30,2829086,1,1,1,0,1
131,269, 8/21/2024, 5:13:18,2829086,1,1,1,1,1
132,271, 8/21/2024, 5:15:16,2829086,1,1,1,1,0
133,273, 8/21/2024, 5:17:24,2829086,1,1,1,1,1
134,275, 8/21/2024, 5:19:28,2829086,1,1,1,1,1
135,277, 8/21/2024, 5:21:58,2829086,1,1,1,1,1
136,279, 8/21/2024, 5:24:09,2829086,1,1,1,1,1
137,281, 8/21/2024, 5:35:10,2829086,1,1,1,0,0
138,283, 8/21/2024, 5:38:41,2829086,1,1,1,1,0
139,285, 8/21/2024, 5:41:31,2829086,1,1,1,1,1
140,287, 8/21/2024, 7:52:29,2829086,1,1,1,1,1
141,289, 8/21/2024, 7:54:51,2829086,1,1,1,1,1
142,291, 8/21/2024, 7:57:40,2829086,1,1,1,1,1
143,293, 8/21/2024, 7:59:33,2829086,1,1,1,1,1
144,295, 8/21/2024, 8:03:49,2829086,1,1,1,0,0
145,297, 8/21/2024, 8:05:50,2829086,1,1,1,1,1
146,299, 8/21/2024, 8:13:03,2829086,1,1,1,0,1
147,301, 8/21/2024, 8:16:34,2829086,1,1,1,1,1
148,303, 8/21/2024, 8:18:24,2829086,1,1,1,1,1
149,305, 8/21/2024, 8:22:48,2829086,1,1,1,1,0
150,307, 8/21/2024, 8:24:51,2829086,1,1,1,0,1
151,309, 8/21/2024, 8:26:57,2829086,1,1,1,1,0
152,311, 8/21/2024, 8:30:03,2829086,1,1,1,1,1
153,313, 8/21/2024, 8:31:51,2829086,1,1,1,1,1
154,315, 8/21/2024, 8:33:41,2829086,1,1,1,1,0
155,317, 8/21/2024, 8:49:32,2829086,1,1,1,1,1
156,319, 8/21/2024, 8:51:05,2829086,1,1,1,1,1
157,321, 8/21/2024, 8:53:14,2829086,1,1,1,1,1
158,323, 8/21/2024, 8:56:23,2829086,1,1,1,1,1
159,325, 8/21/2024, 9:02:06,2829086,1,1,1,0,0
160,327, 8/21/2024, 9:04:14,2829086,1,1,1,1,1
161,329, 8/21/2024, 9:06:15,2829086,1,1,1,1,1
162,331, 8/21/2024, 9:08:06,2829086,1,1,1,0,1
163,333, 8/21/2024, 9:12:02,2829086,1,1,1,1,0
164,335, 8/21/2024, 9:14:13,2829086,1,1,1,1,1
165,337, 8/21/2024, 9:16:44,2829086,1,1,1,1,1
166,339, 8/21/2024, 9:20:24,2829086,1,1,1,1,1
167,341, 8/21/2024, 9:26:48,2829086,1,1,1,1,1
168,343, 8/21/2024, 9:30:12,2829086,1,1,1,1,0
169,345, 8/21/2024, 9:34:22,2829086,1,1,1,0,1
170,347, 8/21/2024, 9:36:27,2829086,1,1,1,0,0
171,349, 8/21/2024, 9:38:31,2829086,1,1,1,1,1
172,351, 8/21/2024, 9:40:26,2829086,1,1,1,0,1
173,353, 8/21/2024, 9:46:15,2829086,1,1,1,1,1
174,355, 8/21/2024,10:00:29,2829086,1,1,1,0,1
175,357, 8/21/2024,10:04:10,2829086,1,1,1,1,1
176,359, 8/21/2024,10:42:36,2829086,1,1,1,1,1
177,361, 8/21/2024,10:53:16,2829086,1,1,1,0,0
178,363, 8/21/2024,10:57:00,2829086,1,1,1,1,1
179,365, 8/21/2024,12:32:03,2829086,1,1,1,1,1
180,367, 8/21/2024,12:52:02,2829086,1,1,1,0,1
181,369, 8/21/2024,12:55:33,2829086,1,1,1,1,1
182,371, 8/21/2024,12:57:32,2829086,1,1,1,1,1
183,373, 8/21/2024,12:59:44,2829086,1,1,1,1,1
184,375, 8/21/2024,13:06:20,2829086,1,1,1,0,1
185,377, 8/21/2024,13:08:04,2829086,1,1,1,1,1
186,379, 8/21/2024,13:10:36,2829086,1,1,1,1,1
187,381, 8/21/2024,13:14:04,2829086,1,1,1,0,1
188,383, 8/21/2024,13:16:09,2829086,1,1,1,0,1
189,385, 8/21/2024,13:18:37,2829086,1,1,1,1,1
190,387, 8/21/2024,13:21:23,2829086,1,1,1,1,1
191,389, 8/21/2024,13:23:33,2829086,1,1,1,1,1
192,391, 8/21/2024,13:25:54,2829086,1,1,1,0,1
193,393, 8/21/2024,13:31:23,2829086,1,1,1,1,1
194,395, 8/21/2024,13:33:53,2829086,1,1,1,1,1
195,397, 8/21/2024,13:40:50,2829086,1,1,1,1,1
196,399, 8/21/2024,13:45:36,2829086,1,1,1,1,1
197,401, 8/21/2024,13:47:39,2829086,1,1,1,1,0
198,403, 8/21/2024,13:49:51,2829086,1,1,1,1,1
199,405, 8/21/2024,13:52:01,2829086,1,1,1,1,1
200,407, 8/21/2024,13:55:01,2829086,1,1,1,1,1
201,409, 8/21/2024,13:56:58,2829086,1,1,1,1,0
202,411, 8/21/2024,14:23:19,2829086,1,1,1,1,1
203,413, 8/21/2024,15:16:43,2829086,1,1,1,0,0
204,415, 8/21/2024,15:21:26,2829086,1,1,1,1,1
205,417, 8/21/2024,15:28:52,2829086,1,1,1,1,1
206,419, 8/21/2024,15:32:08,2829086,1,1,1,1,0
207,421, 8/21/2024,15:37:26,2829086,1,1,1,1,1
208,423, 8/21/2024,15:40:53,2829086,1,1,1,1,1
209,425, 8/21/2024,15:44:44,2829086,1,1,1,1,1
210,427, 8/21/2024,15:48:09,2829086,1,1,1,1,1
211,429, 8/21/2024,16:35:15,2829086,1,1,1,1,1
212,431, 8/21/2024,16:39:06,2829086,1,1,1,1,0
213,433, 8/21/2024,16:40:43,2829086,1,1,1,1,0
214,435, 8/21/2024,16:42:49,2829086,1,1,1,1,1
215,437, 8/21/2024,16:45:03,2829086,1,1,1,0,1
216,439, 8/21/2024,16:49:47,2829086,1,1,1,0,1
217,441, 8/21/2024,16:57:43,2829086,1,1,1,1,1
218,443, 8/21/2024,17:00:22,2829086,1,1,1,1,0
219,445, 8/21/2024,17:03:14,2829086,1,1,1,1,1
220,447, 8/21/2024,17:08:33,2829086,1,1,1,1,1
221,449, 8/21/2024,17:11:11,2829086,1,1,1,0,1
222,451, 8/21/2024,17:14:59,2829086,1,1,1,0,1
223,453, 8/21/2024,17:17:22,2829086,1,1,1,1,1
224,455, 8/21/2024,17:19:59,2829086,1,1,1,1,1
225,457, 8/21/2024,17:24:19,2829086,1,1,1,1,1
226,459, 8/21/2024,17:47:43,2829086,1,1,1,1,1
227,461, 8/21/2024,17:50:56,2829086,1,1,1,1,1
228,463, 8/21/2024,17:54:50,2829086,1,1,1,1,1
229,465, 8/21/2024,18:39:53,2829086,1,1,1,1,1
230,467, 8/21/2024,18:47:21,2829086,1,1,1,0,1
231,469, 8/21/2024,18:50:46,2829086,1,1,1,0,1
232,471, 8/21/2024,18:56:22,2829086,1,1,1,1,0
233,473, 8/21/2024,18:59:46,2829086,1,1,1,1,1
234,475, 8/21/2024,19:02:40,2829086,1,1,1,1,1
235,477, 8/21/2024,19:05:59,2829086,1,1,1,1,1
236,479, 8/21/2024,19:09:01,2829086,1,1,1,0,1
237,481, 8/21/2024,19:12:37,2829086,1,1,1,1,1
238,483, 8/21/2024,19:18:41,2829086,1,1,1,1,1
239,485, 8/21/2024,19:21:22,2829086,1,1,1,1,1
240,487, 8/21/2024,19:23:45,2829086,1,1,1,1,1
241,489, 8/21/2024,19:26:21,2829086,1,1,1,1,0
242,491, 8/21/2024,20:38:18,2829086,1,1,1,1,1
243,493, 8/21/2024,20:41:46,2829086,1,1,1,1,1
244,495, 8/21/2024,20:48:21,2829086,1,1,1,0,0
245,497, 8/21/2024,20:53:53,2829086,1,1,1,1,1
246,499, 8/21/2024,20:57:10,2829086,1,1,1,1,0
247,501, 8/21/2024,21:07:18,2829086,1,1,1,1,0
248,503, 8/21/2024,21:10:20,2829086,1,1,1,1,1
249,505, 8/21/2024,21:13:30,2829086,1,1,1,1,1
250,507, 8/21/2024,21:19:24,2829086,1,1,1,0,1
251,509, 8/21/2024,21:21:56,2829086,1,1,1,0,1
252,511, 8/21/2024,21:24:58,2829086,1,1,1,0,1
253,513, 8/21/2024,21:27:46,2829086,1,1,1,1,1
254,515, 8/21/2024,21:30:43,2829086,1,1,1,1,1
255,517, 8/21/2024,21:33:59,2829086,1,1,1,1,1
256,519, 8/21/2024,21:44:40,2829086,1,1,1,1,0
257,521, 8/21/2024,21:47:25,2829086,1,1,1,1,1
258,523, 8/21/2024,21:50:05,2829086,1,1,1,1,1
259,525, 8/21/2024,21:52:52,2829086,1,1,1,1,1
260,527, 8/21/2024,21:55:34,2829086,1,1,1,1,0
261,529, 8/21/2024,21:58:21,2829086,1,1,1,1,1
262,531, 8/21/2024,22:01:00,2829086,1,1,1,0,1
263,533, 8/21/2024,22:03:46,2829086,1,1,1,1,1
264,535, 8/21/2024,22:06:56,2829086,1,1,1,0,1
265,537, 8/21/2024,23:15:51,2829086,1,1,1,1,1
266,539, 8/21/2024,23:17:51,2829086,1,1,1,1,0
267,541, 8/21/2024,23:27:29,2829086,1,1,1,1,1
268,543, 8/21/2024,23:31:28,2829086,1,1,1,0,0
269,545, 8/21/2024,23:35:05,2829086,1,1,1,0,0
270,547, 8/21/2024,23:37:30,2829086,1,1,1,0,1
271,549, 8/21/2024,23:39:38,2829086,1,1,1,1,0
272,551, 8/21/2024,23:41:56,2829086,1,1,1,1,0
273,553, 8/21/2024,23:46:11,2829086,1,1,1,1,1
274,555, 8/21/2024,23:51:10,2829086,1,1,1,1,0
275,557, 8/21/2024,23:55:08,2829086,1,1,1,0,1
276,559, 8/21/2024,23:57:48,2829086,1,1,1,0,1
277,561, 8/22/2024, 0:02:39,2829086,1,1,1,1,1
278,563, 8/22/2024, 0:06:24,2829086,1,1,1,1,1
279,565, 8/22/2024, 0:13:50,2829086,1,1,1,1,1
280,567, 8/22/2024, 0:17:19,2829086,1,1,1,1,1
281,569, 8/22/2024, 0:19:28,2829086,1,1,1,1,1
282,571, 8/22/2024, 0:21:49,2829086,1,1,1,1,1
283,573, 8/22/2024, 0:25:10,2829086,1,1,1,1,1
284,575, 8/22/2024, 0:27:11,2829086,1,1,1,0,1
285,577, 8/22/2024, 0:29:39,2829086,1,1,1,0,1
286,579, 8/22/2024, 0:42:31,2829086,1,1,1,1,1
287,581, 8/22/2024, 0:52:41,2829086,1,1,1,1,1
288,583, 8/22/2024, 0:57:37,2829086,1,1,1,1,1
289,585, 8/22/2024, 1:01:47,2829086,1,1,1,0,1
290,587, 8/22/2024, 1:08:03,2829086,1,1,1,1,0
291,589, 8/22/2024, 1:10:29,2829086,1,1,1,1,1
292,591, 8/22/2024, 1:20:12,2829086,1,1,1,1,1
293,593, 8/22/2024, 1:21:20,2829086,1,1,1,1,0
294,595, 8/22/2024, 1:26:15,2829086,1,1,1,0,1
295,597, 8/22/2024, 1:38:53,2829086,1,1,1,0,1
296,599, 8/22/2024, 1:42:24,2829086,1,1,1,1,1
297,601, 8/22/2024, 1:51:19,2829086,1,1,1,1,1
298,603, 8/22/2024, 1:54:46,2829086,1,1,1,1,1
299,605, 8/22/2024, 1:58:10,2829086,1,1,1,1,1
300,607, 8/22/2024, 2:01:13,2829086,1,1,1,0,1
301,609, 8/22/2024, 2:07:15,2829086,1,1,1,1,1
302,611, 8/22/2024, 2:17:52,2829086,1,1,1,0,1
303,613, 8/22/2024, 2:20:01,2829086,1,1,1,0,1
304,615, 8/22/2024, 2:29:45,2829086,1,1,1,1,1
305,617, 8/22/2024, 2:31:35,2829086,1,1,1,0,1
306,619, 8/22/2024, 2:33:37,2829086,1,1,1,0,1
307,621, 8/22/2024, 2:36:15,2829086,1,1,1,1,0
308,623, 8/22/2024, 2:38:23,2829086,1,1,1,0,1
309,625, 8/22/2024, 2:41:24,2829086,1,1,1,1,0
310,627, 8/22/2024, 2:43:33,2829086,1,1,1,1,1
311,629, 8/22/2024, 4:16:56,2829086,1,1,1,1,1
312,631, 8/22/2024, 4:21:07,2829086,1,1,1,1,1
313,633, 8/22/2024, 4:28:02,2829086,1,1,1,0,1
314,635, 8/22/2024, 4:31:04,2829086,1,1,1,0,1
315,637, 8/22/2024, 4:33:57,2829086,1,1,1,1,1
316,639, 8/22/2024, 4:36:14,2829086,1,1,1,0,1
317,641, 8/22/2024, 4:38:25,2829086,1,1,1,0,1
318,643, 8/22/2024, 4:41:06,2829086,1,1,1,1,1
319,645, 8/22/2024, 4:46:13,2829086,1,1,1,1,1
320,647, 8/22/2024, 5:02:55,2829086,1,1,1,0,1
321,649, 8/22/2024, 5:05:04,2829086,1,1,1,0,1
322,651, 8/22/2024, 5:08:26,2829086,1,1,1,0,0
323,653, 8/22/2024, 5:11:03,2829086,1,1,1,1,1
324,655, 8/22/2024, 5:13:56,2829086,1,1,1,0,0
325,657, 8/22/2024, 5:24:09,2829086,1,1,1,0,1
326,659, 8/22/2024, 5:26:36,2829086,1,1,1,1,1
327,661, 8/22/2024, 5:29:47,2829086,1,1,1,1,0
328,663, 8/22/2024, 5:37:30,2829086,1,1,1,1,1
329,665, 8/22/2024, 7:43:32,2829086,1,1,1,0,0
330,667, 8/22/2024, 7:46:10,2829086,1,1,1,1,0
331,669, 8/22/2024, 7:48:41,2829086,1,1,1,0,0
332,671, 8/22/2024, 7:51:24,2829086,1,1,1,1,1
333,673, 8/22/2024, 7:56:58,2829086,1,1,1,1,1
334,675, 8/22/2024, 7:59:34,2829086,1,1,1,0,1
335,677, 8/22/2024, 8:02:15,2829086,1,1,1,1,0
336,679, 8/22/2024, 8:04:19,2829086,1,1,1,1,1
337,681, 8/22/2024, 8:06:55,2829086,1,1,1,1,1
338,683, 8/22/2024, 8:11:20,2829086,1,1,1,0,1
339,685, 8/22/2024, 8:14:04,2829086,1,1,1,1,0
340,687, 8/22/2024, 8:16:20,2829086,1,1,1,1,0
341,689, 8/22/2024, 8:18:51,2829086,1,1,1,1,1
342,691, 8/22/2024, 8:21:38,2829086,1,1,1,1,1
